,rewards,random_rewards
63,1323.273610688627,1916.1973365743384
64,1991.9098619363954,1132.2866214682203
65,1939.3424412795714,1549.922085561994
66,1614.1270613119345,1547.7955453707073
67,2231.582877317965,955.9204356547534
68,2300.389779104417,983.8937108352824
69,1655.7157161468992,1504.108837537717
70,1386.8002165451164,1295.3465213816262
71,1866.506340773492,1576.736674403957
72,1392.2382092621206,1257.5321389976093
73,1495.2315211509786,1370.8955741785758
74,1621.7597449307598,1354.4499580255651
75,1766.279862455548,1364.665282357585
76,1418.1624308966711,1216.2601996473177
77,1290.4320049487128,1664.8151281904466
78,1717.662945993713,1460.4855259719898
79,1511.3708887874138,1267.1562011867754
80,1133.5638487006959,1753.1740366222996
81,1095.444867780806,1588.8065626564185
82,1187.2255909667128,1514.6138427036974
83,2279.26601583238,1324.6846247699268
84,820.1173994948812,1082.697913525481
85,1145.7576644775695,1394.6367573681696
86,1083.7134961598845,1396.0589247104492
87,1183.0924773905608,1697.7549615364878
88,1952.7426366975087,1404.3991254284526
89,1389.1844756866687,1156.6731747562167
90,1141.419617266831,1627.7836529842975
91,1541.5658158722226,1678.0017176643223
92,1669.9878754737838,2045.0662885583417
93,2096.012393715217,986.6329503012771
94,1661.3411010334885,1307.9354060039855
95,1376.2226286767734,1364.121126170689
96,1284.1060986077073,1608.1255735760813
97,1769.7542742781636,1247.9392632847105
98,1700.7492009263278,1770.1812132249502
99,1723.3793518573266,1134.9622645587315
100,1233.810278067562,1714.2525360096433
101,1159.4102404896798,1592.196495212303
102,1819.0208251886077,1398.8861408781363
103,2370.241506364148,1707.878104317887
104,1140.5577761057452,1681.6821218940952
105,1638.2551881507513,1528.0914017212165
106,1463.8344937224279,1192.8916977199292
107,1469.7530808423528,1513.5035379035867
108,892.8090296741009,1350.9437770760667
109,1400.9478226097144,1618.1892012016338
110,1424.8728824695793,1105.9317634311387
111,1699.4912148363203,1332.071929061555
112,1722.0198248076456,2071.58437187742
113,1852.9059325230726,1352.686615415058
114,1705.8932328268631,1843.6679623192485
115,1723.8272372371691,1160.8473717003576
116,1385.2098066297997,1265.4458562039142
117,1182.4514756742828,1498.3224270855178
118,1512.5109687077834,2229.00533184691
119,1771.1997450640358,1216.82278711568
120,1399.2290382104838,1227.838105309896
121,2103.6438386266227,1396.196883082371
122,1664.3355726982936,1061.935412733977
123,1436.3518555030005,1108.031855420166
124,1264.3688425384212,1388.5850745577095
125,1214.292130331385,1447.5465500162513
126,1023.1974904256259,1422.739732934889
127,1296.4019656644846,1341.7125629035193
128,1617.2324276448308,1815.964236880718
129,1112.6059265759168,1262.6946483026438
130,1348.664960134979,974.9482311502062
131,1481.0111114137976,1585.123674453179
132,1432.0244114996774,1427.0962714100144
133,1270.4454258487817,874.9877881001529
134,1327.7677401380702,1542.9203275528137
135,1957.7543045386308,2004.1636219425318
136,1783.6692656270418,990.7536062965942
137,1343.3020556638621,2227.443677516415
138,1992.989569878101,1395.633420747078
139,1321.162269125578,1189.8920010256898
140,1642.5311813198332,1780.147022869693
141,1219.9040241901919,1563.9248110225953
142,1898.5775546516477,1334.5020101697428
143,1704.3441004376978,1616.8864948274504
144,1776.5100904927042,1369.5343426522688
