,rewards
655,97.69
656,54.38999999999999
657,93.04
658,98.35
659,94.56
660,83.44
661,96.33
662,99.1
663,82.30000000000001
664,92.63000000000001
665,85.42
666,95.77
667,92.44
668,97.06
669,99.59
670,94.43
671,95.36
672,-149.46
673,93.06
674,99.69
675,97.82
676,93.67
677,99.31
678,83.53
679,93.21
680,-149.2
681,99.91
682,91.74000000000001
683,89.86000000000001
684,96.32000000000001
685,87.68
686,98.7
687,-141.54000000000002
688,92.57000000000001
689,98.82
690,98.76
691,88.7
692,-147.36
693,96.45
694,97.75
695,95.22
696,-147.76999999999998
697,-143.29
698,97.49
699,99.39
700,99.77
701,95.3
702,99.81
703,98.94
704,98.06
705,98.63
706,91.23
707,96.69
708,99.12
709,99.47
710,99.9
711,99.92
712,98.64
713,93.25
714,99.16
715,98.4
716,97.02
717,98.84
718,-145.58999999999997
719,-146.56
720,88.93
721,96.36
722,99.77
723,-142.39
724,94.95
725,96.27
726,93.73
727,99.88
728,99.29
729,93.57
730,91.35000000000001
731,99.38
732,98.6
733,96.96
734,93.78
735,99.66
736,99.17
737,97.24
738,98.22
739,98.06
740,97.07
741,92.55
742,99.84
743,86.58
744,92.66
745,98.22
746,98.35
747,99.05
748,97.47
749,92.28
750,-147.38
751,98.59
752,98.04
753,60.29000000000003
754,72.32
755,93.3
756,99.18
757,94.0
758,99.77
759,99.52
760,88.25
761,60.509999999999984
762,96.17
763,86.48
764,93.41
765,98.31
766,99.36
767,96.67
768,97.02
769,98.63
770,84.6
771,99.39
772,94.28999999999999
773,93.36
774,91.74
775,92.27
776,92.96000000000001
777,62.47999999999999
778,98.14
779,-146.51
780,99.52
781,92.15
782,-149.81
783,95.24
784,94.60000000000001
785,-147.29999999999998
786,99.93
787,99.17
788,88.82000000000001
789,93.13
790,99.77
791,-147.1
792,98.38
793,99.59
794,64.47
795,99.44
796,99.84
797,97.93
798,99.96
799,97.59
800,69.89000000000001
801,-148.81
802,-148.45999999999998
803,91.25
804,-149.8
805,-143.72999999999996
806,97.83
807,-140.12
808,96.96000000000001
809,97.02
810,92.59
811,90.59
812,-147.32
813,89.1
814,98.13
815,-138.74
816,-148.11
817,99.16
818,98.77
819,94.93
820,91.2
821,-142.69
822,99.06
823,99.51
824,98.32
825,-148.88999999999996
826,96.03
827,93.25
828,-148.20999999999998
829,90.0
830,90.33
831,98.21
832,99.6
833,-149.27
834,98.45
835,98.77
836,99.28
837,98.71
838,-145.03
839,98.97
840,94.42
841,98.5
842,99.0
843,99.84
844,-148.2
845,98.2
846,99.64
847,98.23
848,95.95
849,95.36
850,99.58
851,99.19
852,91.47
853,94.13
854,-148.42000000000002
855,88.87
856,95.3
857,99.62
858,-148.61
859,95.29
860,97.17
861,99.58
862,94.59
863,99.01
864,95.05
865,-147.34999999999997
866,98.6
867,99.67
868,87.49
869,99.39
870,91.39
871,98.52
872,92.15
873,-148.7
874,-129.67000000000002
875,94.51
876,90.42
877,94.54
878,99.7
879,93.10000000000001
880,94.82
881,-148.1
882,-125.71
883,-148.79000000000002
884,-146.99
885,99.9
886,90.78
887,98.33
888,98.16
889,-142.26
890,90.49000000000001
891,95.47
892,-148.28
893,95.89
894,89.66000000000001
895,88.05
896,92.03
897,88.32
898,98.46
899,95.37
900,90.37
901,-147.39
902,-142.06
903,-115.67
904,-147.73000000000002
905,89.10000000000001
906,98.25
907,-131.08999999999997
908,-147.53
909,98.66
910,99.98
911,98.41
912,95.39
913,92.23
914,97.63
915,-149.15000000000003
916,-146.66
917,-149.56
918,98.45
919,-136.06
920,89.26
921,99.72
922,98.73
923,94.78
924,-102.10999999999999
925,95.08
926,91.8
927,98.67
928,-148.1
929,96.68
930,97.34
931,-149.15
932,95.89
933,-146.42
934,93.33
935,89.79
936,96.04
937,-146.78
938,99.29
939,91.88
940,98.81
941,-144.81
942,-149.21
943,-145.53
944,98.91
945,99.5
946,-142.18
947,96.74
948,87.02000000000001
949,91.07
950,99.35
951,96.73
952,90.42
953,82.86
954,96.31
955,93.02
956,96.72
957,94.7
958,-97.20999999999994
959,98.89
960,-149.24
961,96.87
962,97.21000000000001
963,97.58
964,85.79
965,-148.43
966,99.24
967,99.62
968,-149.66
969,99.79
970,99.02
971,96.2
972,99.52
973,93.77
974,-149.55
975,98.56
976,99.59
977,99.32
978,92.97
979,99.28
980,85.45
981,76.91999999999999
982,85.2
983,94.5
984,99.84
985,92.56
986,-150.0
987,98.7
988,98.27
989,78.80999999999999
990,84.17000000000002
991,85.74
992,98.48
993,83.1
994,79.51999999999998
995,99.67
996,-149.72
997,82.25
998,93.03
999,87.86
