,rewards
998,114.90238095238092
999,105.31071428571428
1000,101.0
1001,101.0
1002,30.55555555555572
1003,102.5
1004,46.5623015873019
1005,119.67579365079361
1006,127.49682539682544
1007,50.499999999999964
1008,33.472222222222214
1009,102.5
1010,101.0
1011,136.66666666666666
1012,100.0
1013,31.186111111111213
1014,93.4166666666665
1015,142.63095238095235
1016,125.43333333333332
1017,32.40833333333343
1018,128.85714285714283
1019,105.31071428571428
1020,50.47619047619044
1021,50.476190476190446
1022,36.6702380952381
1023,42.10238095238116
1024,108.08333333333333
1025,33.45833333333333
1026,30.83333333333343
1027,104.16666666666642
1028,30.926190476190577
1029,104.24999999999974
1030,43.63928571428597
1031,38.4198412698413
1032,107.14007936507937
1033,126.24166666666669
1034,34.06428571428585
1035,102.5
1036,118.96904761904759
1037,38.040476190476404
1038,50.47619047619044
1039,50.329761904761874
1040,120.21071428571425
1041,104.36666666666666
1042,31.441269841269946
1043,100.0
1044,102.5
1045,100.0
1046,104.58333333333309
1047,31.441269841269946
1048,145.69285714285712
1049,103.69999999999976
1050,31.83055555555554
1051,116.49126984126983
1052,101.0
1053,134.83333333333331
1054,133.10793650793664
1055,32.27539682539694
1056,32.41666666666676
1057,116.87619047619044
1058,30.83333333333343
1059,104.16666666666642
1060,249.91666666666663
1061,30.83333333333343
1062,102.5
1063,136.0095238095238
1064,31.92896825396844
1065,38.502777777778014
1066,121.41666666666661
1067,105.31071428571428
1068,105.31071428571428
1069,100.0
1070,131.86666666666665
1071,101.0
1072,33.47222222222222
1073,102.5
1074,60.833333333333506
1075,30.85833333333343
1076,103.91666666666667
1077,30.926190476190577
1078,102.5
1079,31.441269841269946
1080,146.4166666666666
1081,31.465079365079404
1082,33.0277777777778
1083,105.31071428571428
1084,105.31071428571428
1085,33.707539682539675
1086,111.81230158730158
1087,50.47619047619044
1088,135.86190476190478
1089,100.0
1090,105.31071428571428
1091,46.96190476190494
1092,102.5
1093,32.98055555555558
1094,131.75515873015868
1095,33.4611111111111
1096,100.0
1097,102.5
1098,107.89642857142857
1099,33.26388888888888
1100,100.0
1101,100.0
1102,57.757936507936854
1103,100.0
1104,138.89761904761906
1105,32.74722222222227
1106,48.85039682539684
1107,166.6666666666667
1108,42.50515873015866
1109,154.02023809523837
1110,32.013888888889035
1111,104.36666666666666
1112,140.66666666666669
1113,170.34246031746034
1114,33.47222222222222
1115,142.60595238095206
1116,101.0
1117,31.878968253968438
1118,118.16666666666667
1119,53.538095238095245
1120,117.91666666666667
1121,121.2642857142857
1122,123.88849206349207
1123,100.0
1124,32.33611111111121
1125,101.0
1126,100.0
